image_path,direction,shape,color
up/pentagon_navy_083.png,up,pentagon,navy
up/heart_green_129.png,up,heart,green
up/ellipse_red_088.png,up,ellipse,red
up/ellipse_blue_091.png,up,ellipse,blue
up/hexagon_red_138.png,up,hexagon,red
up/star_orange_066.png,up,star,orange
up/diamond_cyan_068.png,up,diamond,cyan
up/hexagon_brown_058.png,up,hexagon,brown
up/ellipse_blue_018.png,up,ellipse,blue
up/diamond_pink_052.png,up,diamond,pink
up/ellipse_brown_119.png,up,ellipse,brown
up/hexagon_purple_106.png,up,hexagon,purple
up/star_orange_056.png,up,star,orange
up/cross_red_110.png,up,cross,red
up/rectangle_purple_015.png,up,rectangle,purple
up/cross_blue_076.png,up,cross,blue
up/triangle_red_028.png,up,triangle,red
up/triangle_cyan_079.png,up,triangle,cyan
up/rectangle_red_078.png,up,rectangle,red
up/diamond_navy_056.png,up,diamond,navy
up/rectangle_orange_074.png,up,rectangle,orange
up/hexagon_red_074.png,up,hexagon,red
up/star_blue_078.png,up,star,blue
up/diamond_yellow_126.png,up,diamond,yellow
up/hexagon_purple_053.png,up,hexagon,purple
up/heart_pink_115.png,up,heart,pink
up/cross_orange_031.png,up,cross,orange
up/rectangle_brown_054.png,up,rectangle,brown
up/rectangle_cyan_059.png,up,rectangle,cyan
up/star_cyan_114.png,up,star,cyan
up/pentagon_yellow_130.png,up,pentagon,yellow
up/diamond_navy_104.png,up,diamond,navy
up/pentagon_purple_132.png,up,pentagon,purple
up/star_purple_100.png,up,star,purple
up/cross_pink_072.png,up,cross,pink
up/cross_red_148.png,up,cross,red
up/pentagon_blue_076.png,up,pentagon,blue
up/rectangle_blue_039.png,up,rectangle,blue
up/cross_red_133.png,up,cross,red
up/ellipse_brown_038.png,up,ellipse,brown
up/rectangle_purple_144.png,up,rectangle,purple
up/ellipse_purple_114.png,up,ellipse,purple
up/cross_purple_032.png,up,cross,purple
up/heart_pink_113.png,up,heart,pink
up/cross_yellow_127.png,up,cross,yellow
up/circle_cyan_150.png,up,circle,cyan
up/triangle_red_132.png,up,triangle,red
up/diamond_cyan_110.png,up,diamond,cyan
up/heart_green_008.png,up,heart,green
up/pentagon_blue_043.png,up,pentagon,blue
up/pentagon_pink_133.png,up,pentagon,pink
up/diamond_orange_011.png,up,diamond,orange
up/triangle_green_100.png,up,triangle,green
up/rectangle_blue_105.png,up,rectangle,blue
up/ellipse_green_115.png,up,ellipse,green
up/diamond_pink_135.png,up,diamond,pink
up/cross_red_089.png,up,cross,red
up/star_purple_102.png,up,star,purple
up/cross_green_126.png,up,cross,green
up/triangle_red_002.png,up,triangle,red
up/pentagon_blue_142.png,up,pentagon,blue
up/triangle_cyan_145.png,up,triangle,cyan
up/heart_pink_031.png,up,heart,pink
up/pentagon_green_123.png,up,pentagon,green
up/star_yellow_072.png,up,star,yellow
up/ellipse_yellow_060.png,up,ellipse,yellow
up/diamond_green_093.png,up,diamond,green
up/diamond_blue_122.png,up,diamond,blue
up/star_navy_097.png,up,star,navy
up/rectangle_brown_122.png,up,rectangle,brown
up/star_red_004.png,up,star,red
up/diamond_yellow_111.png,up,diamond,yellow
up/hexagon_orange_114.png,up,hexagon,orange
up/ellipse_yellow_150.png,up,ellipse,yellow
up/heart_red_075.png,up,heart,red
up/star_pink_140.png,up,star,pink
up/pentagon_cyan_085.png,up,pentagon,cyan
up/triangle_orange_027.png,up,triangle,orange
up/circle_orange_099.png,up,circle,orange
up/hexagon_red_027.png,up,hexagon,red
up/heart_orange_102.png,up,heart,orange
up/ellipse_navy_093.png,up,ellipse,navy
up/triangle_brown_081.png,up,triangle,brown
up/pentagon_red_075.png,up,pentagon,red
up/circle_red_020.png,up,circle,red
up/circle_purple_031.png,up,circle,purple
up/hexagon_orange_101.png,up,hexagon,orange
up/hexagon_yellow_079.png,up,hexagon,yellow
up/triangle_purple_105.png,up,triangle,purple
up/heart_blue_077.png,up,heart,blue
up/rectangle_blue_075.png,up,rectangle,blue
up/heart_yellow_067.png,up,heart,yellow
up/triangle_brown_086.png,up,triangle,brown
up/ellipse_red_139.png,up,ellipse,red
up/cross_yellow_077.png,up,cross,yellow
up/ellipse_blue_068.png,up,ellipse,blue
up/cross_cyan_097.png,up,cross,cyan
up/circle_green_113.png,up,circle,green
up/triangle_green_133.png,up,triangle,green
up/star_brown_090.png,up,star,brown
up/pentagon_blue_095.png,up,pentagon,blue
up/ellipse_navy_018.png,up,ellipse,navy
up/heart_yellow_129.png,up,heart,yellow
up/diamond_red_057.png,up,diamond,red
up/hexagon_yellow_013.png,up,hexagon,yellow
up/heart_red_027.png,up,heart,red
up/heart_brown_048.png,up,heart,brown
up/cross_yellow_011.png,up,cross,yellow
up/star_green_078.png,up,star,green
up/heart_cyan_145.png,up,heart,cyan
up/ellipse_brown_048.png,up,ellipse,brown
up/rectangle_navy_035.png,up,rectangle,navy
up/pentagon_orange_008.png,up,pentagon,orange
up/triangle_pink_015.png,up,triangle,pink
up/circle_orange_006.png,up,circle,orange
up/pentagon_brown_041.png,up,pentagon,brown
up/diamond_green_059.png,up,diamond,green
up/diamond_green_106.png,up,diamond,green
up/hexagon_brown_097.png,up,hexagon,brown
up/star_purple_057.png,up,star,purple
up/star_orange_114.png,up,star,orange
up/triangle_navy_037.png,up,triangle,navy
up/star_brown_102.png,up,star,brown
up/pentagon_green_085.png,up,pentagon,green
up/hexagon_navy_060.png,up,hexagon,navy
up/diamond_cyan_125.png,up,diamond,cyan
